,id,y,models_sample_0_predict_proba,models_sample_0_top_20_mask,models_sample_1_predict_proba,models_sample_1_top_20_mask,models_sample_2_predict_proba,models_sample_2_top_20_mask
14643,ENSG00000007376,0,0.23906866069417107,False,0.2603472258076097,False,0.27898600830628467,False
10150,ENSG00000169435,0,0.23897841398010994,False,0.32104112612424485,False,0.3051301848221095,False
12511,ENSG00000139697,0,0.22480140870560864,False,0.23608972868643668,False,0.227781309914375,False
13381,ENSG00000137200,0,0.259851992106214,False,0.2172974040047671,False,0.24428822773379222,False
4313,ENSG00000143862,0,0.39480708501447187,False,0.40750038421088663,False,0.4535518637089293,False
9478,ENSG00000198445,0,0.2109851013867504,False,0.23207034092415982,False,0.1830525547458537,False
6318,ENSG00000145495,0,0.19494319272644933,False,0.1975920487442583,False,0.19622578933916782,False
14673,ENSG00000183742,0,0.2898438475536784,False,0.35137913978515106,False,0.3738836948986218,False
14237,ENSG00000198182,0,0.13050629134632596,False,0.1333860239876956,False,0.14994929690901843,False
15906,ENSG00000187713,0,0.4109903007442483,False,0.40490262545615613,False,0.3247825967780313,False
10074,ENSG00000108479,0,0.4025377135027369,False,0.40007505830350787,False,0.3655166245317394,False
6666,ENSG00000095906,0,0.3019278149995183,False,0.32047769809817467,False,0.3161586287891361,False
717,ENSG00000039068,0,0.28344299642579446,False,0.3354318852142643,False,0.3192320453613818,False
11565,ENSG00000130158,0,0.4085033113087169,False,0.350493936994871,False,0.26410432761546665,False
1399,ENSG00000118785,0,0.22526251661874544,False,0.20566292644224565,False,0.2081113001830881,False
3273,ENSG00000103510,0,0.17958728799351667,False,0.1685988221513912,False,0.17473726103424483,False
10170,ENSG00000053371,0,0.40001105520196084,False,0.4024113157595457,False,0.3948125507615255,False
5310,ENSG00000181744,0,0.19184383012030498,False,0.21784356413307193,False,0.2154499082423813,False
10750,ENSG00000198429,0,0.23018093101625317,False,0.22780099253642005,False,0.24930387989752806,False
10491,ENSG00000171617,0,0.45806299449634014,False,0.404917839221563,False,0.42783926177840265,False
4773,ENSG00000121236,0,0.7618525274954662,False,0.7464791384212749,False,0.7454819146741297,False
6170,ENSG00000156113,0,0.2665915456533976,False,0.22899582719702505,False,0.26225516710139635,False
8338,ENSG00000165891,0,0.27224823044217283,False,0.29613235483275796,False,0.2910078240142797,False
