target_id,target_approved_symbol,disease_id,disease_name,genetic_association_score_Indirect_and_direct
ENSG00000164512,ANKRD55,EFO_0000685,rheumatoid arthritis,0.885187873
ENSG00000175354,PTPN2,EFO_0000685,rheumatoid arthritis,0.846630802
ENSG00000172575,RASGRP1,EFO_0000685,rheumatoid arthritis,0.82944
ENSG00000150347,ARID5B,EFO_0000685,rheumatoid arthritis,0.792187166
ENSG00000198369,SPRED2,EFO_0000685,rheumatoid arthritis,0.789213784
ENSG00000144218,AFF3,EFO_0000685,rheumatoid arthritis,0.785458112
ENSG00000164307,ERAP1,EFO_0000685,rheumatoid arthritis,0.785186867
ENSG00000112486,CCR6,EFO_0000685,rheumatoid arthritis,0.779736755
ENSG00000138378,STAT4,EFO_0000685,rheumatoid arthritis,0.779725245
ENSG00000134460,IL2RA,EFO_0000685,rheumatoid arthritis,0.769064113
ENSG00000007171,NOS2,EFO_0000685,rheumatoid arthritis,0.761519022
ENSG00000118503,TNFAIP3,EFO_0000685,rheumatoid arthritis,0.755357616
ENSG00000112182,BACH2,EFO_0000685,rheumatoid arthritis,0.755043118
ENSG00000159339,PADI4,EFO_0000685,rheumatoid arthritis,0.754717723
ENSG00000162924,REL,EFO_0000685,rheumatoid arthritis,0.744727829
ENSG00000140968,IRF8,EFO_0000685,rheumatoid arthritis,0.740402903
ENSG00000178562,CD28,EFO_0000685,rheumatoid arthritis,0.739821426
ENSG00000117115,PADI2,EFO_0000685,rheumatoid arthritis,0.739229977
ENSG00000153814,JAZF1,EFO_0000685,rheumatoid arthritis,0.731780795
ENSG00000150637,CD226,EFO_0000685,rheumatoid arthritis,0.72874801
ENSG00000163599,CTLA4,EFO_0000685,rheumatoid arthritis,0.726592377
ENSG00000101017,CD40,EFO_0000685,rheumatoid arthritis,0.72400325
ENSG00000113302,IL12B,EFO_0000685,rheumatoid arthritis,0.718638525
ENSG00000170340,B3GNT2,EFO_0000685,rheumatoid arthritis,0.714528842
ENSG00000107485,GATA3,EFO_0000685,rheumatoid arthritis,0.705135412
ENSG00000163508,EOMES,EFO_0000685,rheumatoid arthritis,0.704960266
